timestamp,open,high,low,close,volume
2025-05-05 17:00:00,1808.1,1817.66,1805.35,1814.51,9332.9247
2025-05-05 18:00:00,1814.51,1828.5,1812.0,1822.61,11985.98
2025-05-05 19:00:00,1822.6,1826.44,1813.45,1816.44,11028.1342
2025-05-05 20:00:00,1816.44,1816.52,1799.52,1808.97,8544.6295
2025-05-05 21:00:00,1808.97,1819.73,1808.44,1816.75,7106.6844
2025-05-05 22:00:00,1816.75,1833.55,1816.24,1826.09,17163.0446
2025-05-05 23:00:00,1826.09,1830.78,1817.1,1820.19,9376.7025
2025-05-06 00:00:00,1820.19,1820.8,1810.85,1814.19,7431.387
2025-05-06 01:00:00,1814.2,1820.9,1803.36,1804.49,11464.1385
2025-05-06 02:00:00,1804.49,1807.38,1792.49,1803.63,20071.7182
2025-05-06 03:00:00,1803.63,1807.41,1798.0,1806.35,9797.975
2025-05-06 04:00:00,1806.35,1808.82,1803.68,1806.97,5745.5008
2025-05-06 05:00:00,1806.97,1808.01,1797.78,1798.91,6659.7764
2025-05-06 06:00:00,1798.9,1806.39,1798.73,1806.38,4626.4551
2025-05-06 07:00:00,1806.39,1809.26,1801.6,1806.03,7070.8089
2025-05-06 08:00:00,1806.03,1806.1,1788.35,1801.68,15287.9978
2025-05-06 09:00:00,1801.69,1801.8,1792.2,1798.0,8909.0769
2025-05-06 10:00:00,1798.0,1798.0,1782.55,1785.19,14973.2038
2025-05-06 11:00:00,1785.19,1790.6,1757.34,1769.92,40691.3505
2025-05-06 12:00:00,1769.92,1776.91,1766.96,1775.22,20739.2429
2025-05-06 13:00:00,1775.23,1775.89,1752.0,1759.15,29946.9605
2025-05-06 14:00:00,1759.15,1779.68,1759.15,1768.7,19436.2914
2025-05-06 15:00:00,1768.7,1778.85,1760.49,1770.09,15593.3468
2025-05-06 16:00:00,1770.09,1775.2,1762.16,1763.02,13861.8232
2025-05-06 17:00:00,1763.01,1776.45,1762.97,1768.02,13253.8404
2025-05-06 18:00:00,1768.02,1791.24,1766.8,1790.12,12263.7459
2025-05-06 19:00:00,1790.12,1798.8,1784.42,1784.79,20276.2353
2025-05-06 20:00:00,1784.8,1789.1,1768.49,1775.44,13051.9972
2025-05-06 21:00:00,1775.45,1781.0,1765.5,1775.81,8987.3947
2025-05-06 22:00:00,1775.8,1813.23,1775.65,1811.11,37938.0237
2025-05-06 23:00:00,1811.1,1819.41,1802.1,1817.0,26505.9542
2025-05-07 00:00:00,1817.0,1847.77,1814.59,1842.23,54043.4446
2025-05-07 01:00:00,1842.23,1850.0,1828.82,1832.71,34585.3715
2025-05-07 02:00:00,1832.71,1835.17,1821.9,1824.94,22582.6008
2025-05-07 03:00:00,1824.95,1828.49,1817.2,1826.48,14765.9294
